number,Diamine 1,Molar Ratio3,Diamine 2,Molar Ratio4
1,4,1,,
2,5,0.05,4,0.95
3,5,0.1,4,0.9
4,5,0.15,4,0.85
5,5,0.2,4,0.8
6,13,1,,
7,13,0.99,30,0.01
8,13,0.975,30,0.025
9,13,0.95,30,0.05
10,13,0.925,30,0.075
11,13,0.9,30,0.1
12,13,1,,
13,13,0.99,30,0.01
14,13,0.975,30,0.025
15,13,0.95,30,0.05
16,13,0.925,30,0.075
17,13,0.9,30,0.1
18,13,1,,
19,13,0.99,30,0.01
20,13,0.975,30,0.025
21,13,0.95,30,0.05
22,13,0.925,30,0.075
23,13,0.9,30,0.1
24,39,1,,
25,39,1,,
26,39,1,,
27,39,1,,
28,39,1,,
29,39,1,,
30,39,1,,
31,39,1,,
32,39,1,,
33,39,1,,
34,4,1,,
35,2,1,,
36,3,1,,
37,1,1,,
38,1,1,,
39,4,1,,
40,2,1,,
41,3,1,,
42,1,1,,
43,1,1,,
44,4,1,,
45,4,0.5,26,0.5
46,4,0.4,26,0.6
47,4,0.3,26,0.7
48,4,0.2,26,0.8
49,26,1,,
50,38,1,,
51,38,1,,
52,38,1,,
53,6,1,,
54,6,1,,
55,6,1,,
56,7,1,,
57,7,1,,
58,7,1,,
59,7,0.5,,
60,7,0.5,,
61,7,0.5,,
62,14,1,,
63,14,1,,
64,14,1,,
65,14,1,,
66,8,1,,
67,8,1,,
68,8,1,,
69,9,1,,
70,9,0.7,4,0.3
71,9,0.5,4,0.5
72,9,0.3,4,0.7
73,4,1,,
74,10,1,,
75,10,1,,
76,10,1,,
77,10,1,,
78,10,1,,
79,11,1,,
80,11,1,,
81,11,1,,
82,11,1,,
83,11,1,,
84,12,1,,
85,12,1,,
86,12,1,,
87,12,1,,
88,12,1,,
89,12,1,,
90,12,1,,
91,12,1,,
92,12,1,,
93,13,0.2,4,0.8
94,13,0.5,4,0.5
95,13,0.8,4,0.2
96,13,1,,
97,13,0.2,4,0.8
98,13,0.5,4,0.5
99,13,0.8,4,0.2
100,13,1,,
101,13,0.2,4,0.8
102,13,0.5,4,0.5
103,13,0.8,4,0.2
104,13,1,,
105,13,0.2,4,0.8
106,13,0.5,4,0.5
107,13,0.8,4,0.2
108,13,1,,
109,13,0.2,4,0.8
110,13,0.5,4,0.5
111,13,0.8,4,0.2
112,13,1,,
113,16,1,,
114,18,1,,
115,17,1,,
116,40,1,,
117,58,1,,
118,58,1,,
119,58,1,,
120,58,1,,
121,58,1,,
122,4,1,,
123,14,1,,
124,14,0.5,4,0.5
125,4,0.93,94,0.07
126,14,0.93,94,0.07
127,14,0.5,4,0.5
128,14,0.8,4,0.2
129,14,0.9,4,0.1
130,14,0.8,4,0.2
131,22,1,,
132,22,1,,
133,22,1,,
134,22,1,,
135,22,1,,
136,46,1,,
137,46,1,,
138,4,0.5,47,0.5
139,35,0.5,47,0.5
140,4,0.5,47,0.5
141,35,0.5,47,0.5
142,4,0.5,47,0.5
143,35,0.5,47,0.5
144,48,1,,
145,48,1,,
146,48,1,,
147,48,1,,
148,48,1,,
149,49,1,,
150,49,1,,
151,49,1,,
152,49,1,,
153,49,1,,
154,49,1,,
155,50,1,,
156,51,1,,
157,4,1,,
158,20,1,,
159,19,1,,
160,55,1,,
161,52,1,,
162,50,1,,
163,51,1,,
164,4,1,,
165,20,1,,
166,19,1,,
167,55,1,,
168,52,1,,
169,50,1,,
170,51,1,,
171,4,1,,
172,20,1,,
173,19,1,,
174,55,1,,
175,52,1,,
176,56,1,,
177,56,1,,
178,56,1,,
179,56,1,,
180,56,1,,
181,57,1,,
182,57,1,,
183,57,1,,
184,57,0.5,,
185,57,0.5,,
186,57,0.5,,
187,4,1,,
188,4,0.9,31,0.1
189,4,0.7,31,0.3
190,4,0.5,31,0.5
191,4,0.3,31,0.7
192,4,0.1,31,0.9
193,58,1,,
194,58,1,,
195,58,1,,
196,58,1,,
197,58,1,,
198,59,1,,
199,60,1,,
200,61,1,,
201,62,1,,
202,32,0.25,4,0.75
203,32,0.2,4,0.8
204,4,1,,
205,33,1,,
206,33,0.7,4,0.3
207,33,0.5,4,0.5
208,33,0.3,4,0.7
209,33,0,4,1
210,63,1,,
211,64,1,,
212,65,1,,
213,65,1,,
214,65,1,,
215,35,1,,
216,35,1,,
217,35,1,,
218,67,1,,
219,66,1,,
220,67,1,,
221,67,1,,
222,66,1,,
223,67,1,,
224,67,1,,
225,67,1,,
226,67,1,,
227,67,1,,
228,66,1,,
229,68,1,,
230,68,1,,
231,68,1,,
232,68,1,,
233,68,1,,
234,69,1,,
235,69,1,,
236,69,1,,
237,73,1,,
238,73,1,,
239,73,1,,
240,73,1,,
241,73,1,,
242,70,1,,
243,70,1,,
244,71,1,,
245,71,1,,
246,72,1,,
247,72,1,,
248,50,1,,
249,51,1,,
250,52,1,,
251,55,1,,
252,75,1,,
253,4,1,,
254,54,1,,
255,50,1,,
256,51,1,,
257,52,1,,
258,55,1,,
259,75,1,,
260,4,1,,
261,54,1,,
262,50,1,,
263,51,1,,
264,52,1,,
265,55,1,,
266,75,1,,
267,4,1,,
268,54,1,,
269,76,1,,
270,76,1,,
271,76,1,,
272,76,1,,
273,76,1,,
274,54,1,,
275,85,1,,
276,86,1,,
277,87,1,,
278,88,1,,
279,77,1,,
280,77,1,,
281,77,1,,
282,77,1,,
283,77,1,,
284,77,1,,
285,77,1,,
286,18,1,,
287,18,1,,
288,18,1,,
289,18,1,,
290,18,1,,
291,78,1,,
292,78,1,,
293,78,1,,
294,78,1,,
295,78,1,,
296,31,1,,
297,31,1,,
298,31,1,,
299,4,1,,
300,4,1,,
301,80,1,,
302,79,0.3,80,0.7
303,79,0.5,80,0.5
304,79,0.7,80,0.3
305,79,1,,
306,80,1,,
307,79,0.3,80,0.7
308,79,0.5,80,0.5
309,79,0.7,80,0.3
310,79,1,,
311,4,1,,
312,4,0.9,81,0.1
313,4,0.79,81,0.21
314,4,0.66,81,0.34
315,4,0.52,81,0.48
316,4,0.35,81,0.65
317,4,0.15,81,0.85
318,81,1,,
319,84,1,,
320,84,1,,
321,82,1,,
322,82,1,,
323,83,1,,
324,83,1,,
325,89,1,,
326,89,1,,
327,89,1,,
328,89,1,,
329,89,1,,
330,19,1,,
331,20,1,,
332,4,1,,
333,54,1,,
334,43,1,,
335,44,1,,
336,45,1,,
337,4,1,,
338,23,0.05,4,0.95
339,23,0.1,4,0.9
340,23,0.2,4,0.8
341,23,0.3,4,0.7
342,23,0.5,4,0.5
343,23,1,,
344,23,1,4,0.8
345,23,1,,
346,23,0.2,4,0.8
347,23,1,,
348,23,0.2,4,0.8
349,80,1,,
350,95,1,,
351,96,1,,
352,96,1,,
353,96,1,,
354,96,1,,
355,35,1,,
356,35,1,,
357,35,1,,
358,35,1,,
359,35,1,,
360,35,1,,
361,35,1,,
362,35,1,,
363,35,1,,
364,35,1,,
365,35,1,,
366,35,1,,
367,35,1,,
368,35,1,,
369,35,1,,
370,35,1,,
371,35,1,,
372,35,1,,
373,4,1,,
374,4,1,,
375,4,1,,
376,54,1,,
377,17,1,,
378,97,1,,
379,98,1,,
380,98,1,,
381,98,1,,
382,98,1,,
383,99,1,,
384,99,1,,
385,99,1,,
386,99,1,,
387,100,1,,
388,100,1,,
389,100,1,,
390,100,1,,
391,100,1,,
392,100,1,,
393,100,1,,
394,100,1,,
395,100,1,,
396,100,1,,
397,100,1,,
398,100,1,,
399,101,1,,
400,101,1,,
401,101,1,,
402,102,1,,
403,102,1,,
404,102,1,,
405,102,1,,
406,102,1,,
407,103,1,,
408,103,1,,
409,103,1,,
410,103,1,,
411,103,1,,
412,103,1,,
413,103,1,,
414,103,1,,
415,103,1,,
416,103,1,,
417,103,1,,
418,103,1,,
419,103,1,,
420,103,1,,
421,103,1,,
422,50,1,,
423,50,1,,
424,50,1,,
425,50,1,,
426,50,1,,
427,105,1,,
428,105,1,,
429,106,1,,
430,106,1,,
431,107,1,,
432,107,1,,
433,108,1,,
434,108,1,,
435,108,1,,
436,108,1,,
437,87,1,,
438,87,1,,
439,87,1,,
440,87,1,,
441,87,1,,
442,87,1,,
443,109,1,,
444,14,1,,
445,4,1,,
446,110,1,,
447,111,1,,
448,71,1,,
449,112,1,,
450,72,1,,
451,113,1,,
452,113,1,,
453,113,1,,
454,113,1,,
455,113,1,,
456,113,1,,
457,113,1,,
458,113,1,,
459,113,1,,
460,114,1,,
461,114,1,,
462,114,1,,
463,114,1,,
464,114,1,,
465,114,1,,
466,114,1,,
467,114,1,,
468,114,1,,
469,115,1,,
470,115,1,,
471,115,1,,
472,50,1,,
473,116,0.95,11,0.05
474,116,0.6,11,0.4
475,116,0.2,11,0.8
476,116,0.05,11,0.95
477,4,1,,
478,4,1,,
479,4,1,,
480,4,1,,
481,4,1,,
482,4,1,,
483,4,1,,
484,4,1,,
485,4,1,,
486,4,1,,
487,117,1,,
488,117,1,,
489,117,1,,
490,117,1,,
491,117,1,,
492,118,1,,
493,118,1,,
494,118,1,,
495,117,1,,
496,117,1,,
497,117,1,,
498,117,1,,
499,117,1,,
500,117,1,,
501,117,1,,
502,117,1,,
503,117,1,,
504,117,1,,
505,119,1,,
506,119,1,,
507,120,1,,
508,120,1,,
509,120,1,,
510,120,1,,
511,121,1,,
512,122,1,,
513,121,1,,
514,122,1,,
515,123,1,,
516,124,1,,
517,123,1,,
518,124,1,,
519,13,1,,
520,51,1,,
521,80,1,,
522,97,1,,
523,125,1,,
524,13,0.4,126,0.6
525,13,0.5,104,0.5
526,13,0.5,21,0.5
527,127,1,,
528,127,1,,
529,128,1,,
530,129,1,,
531,13,1,,
532,13,1,,
533,13,1,,
534,80,1,,
535,80,1,,
536,80,1,,
537,130,1,,
538,130,1,,
539,130,1,,
540,52,1,,
541,52,1,,
542,52,1,,
543,52,1,,
544,52,1,,
545,52,1,,
546,14,1,,
547,4,1,,
548,131,1,,
